Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,Status
Neil Wagner,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Qamran Iqbal,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Ishank Jaggi,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Rohan Kunnummal,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Tanmay Mishra,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Yash Nahar,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Shubham Singh Rohilla,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Alex Ross,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Naushad Shaikh,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Baba Aparajith,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Prayas Barman,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Yudhvir Charak,20 Lakh,ALL-ROUNDER,0.0,0.0,MI,Unsold,Unsold
Shubhang Hegde,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Roosh Kalaria,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Tanush Kotian,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Kaushal Tambe,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Shivank Vashisth,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Rahul Chandrol,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Harvik Desai,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Cam Fletcher,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Tarang Gohel,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Fazil Makaya,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Ryan Rickelton,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Sandeep Kumar Tomar,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Siddhesh Wath,20 Lakh,WICKETKEEPER,0.0,0.0,Not Participated,Unsold,Unsold
Stephen Cheepurupalli,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Aniket Choudhary,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Kartikeya Kak,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Ali Khan,40 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Kulwant Khejroliya,20 Lakh,BOWLER,0.0,0.0,DC,Unsold,Unsold
Ronit More,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
M Nidheesh,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Babasafi Pathan,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Vidyadhar Patil,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Mukesh Kumar Singh,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
R. Alexandar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Adithya Ashok,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jasmer Dhankhar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Prerit Dutta,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Jon Russ Jaggesar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
S. Kishan Kumar,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Kevin Koththigoda,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Swaraj Wabale,20 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Curtis Campher,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Colin De Grandhomme,1 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
James Faulkner,1 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Craig Overton,2 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Wayne Parnell,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Samit Patel,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Thisara Perera,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Darcy Short,1 Cr,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Murali Vijay,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Jack Wildermuth,50 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
Hamish Bennett,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Daryn Dupavillon,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Fidel Edwards,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Hamid Hassan,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Lahiru Kumara,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Joel Paris,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
S. Sreesanth,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Oshane Thomas,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Blair Tickner,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Isuru Udana,50 Lakh,BOWLER,0.0,0.0,Not Participated,Unsold,Unsold
Donavon Ferreira,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Bhupen Lalwani,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Henan Malik,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Pukhraj Mann,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Shashwat Rawat,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Jake Weatherald,20 Lakh,BATTER,0.0,0.0,Not Participated,Unsold,Unsold
Gerald Coetzee,20 Lakh,ALL-ROUNDER,0.0,0.0,Not Participated,Unsold,Unsold
